SC1_NAME,SC1_CODE,Local Boundary Name,SampleValues
Eastern,ASM-1,DISTRICT,
Manu'a,ASM-2,DISTRICT,
Unorganized,ASM-3,DISTRICT,
Western,ASM-4,DISTRICT,
Northern Group,COK-3,GROUP OF ISLANDS,
Rarotonga,COK-1,GROUP OF ISLANDS,
Southern Group,COK-2,GROUP OF ISLANDS,
Central,FJI-1,DIVISION,
Eastern,FJI-2,DIVISION,
Northern,FJI-3,DIVISION,
Rotuma,FJI-4,DIVISION,
Western,FJI-5,DIVISION,
Îles Australes,PYF-1,ADMINISTRATIVE SUBDIVISIONS,
Îles du Vent,PYF-2,ADMINISTRATIVE SUBDIVISIONS,
Îles Marquises,PYF-3,ADMINISTRATIVE SUBDIVISIONS,
Îles Sous-le-Vent,PYF-4,ADMINISTRATIVE SUBDIVISIONS,
Îles Tuamotu-Gambier,PYF-5,ADMINISTRATIVE SUBDIVISIONS,
Pohnpei,FSM-3,STATE,
Chuuk,FSM-2,STATE,
Kosrae,FSM-4,STATE,
Yap,FSM-1,STATE,
Rota,NRU-3,ISLAND,
Tinian,NRU-2,ISLAND,
Saipan,NRU-1,ISLAND,
Îles Loyauté,NCL-1,PROVINCE,
Nord,NCL-2,PROVINCE,
Sud,NCL-3,PROVINCE,
Rota,MNP-3,ISLAND,
Tinian,MNP-2,ISLAND,
Saipan,MNP-1,ISLAND,
Bougainville,PNG-1,PROVINCE,
Central,PNG-2,PROVINCE,
Chimbu,PNG-3,PROVINCE,
East New Britain,PNG-4,PROVINCE,
East Sepik,PNG-5,PROVINCE,
Eastern Highlands,PNG-6,PROVINCE,
Enga,PNG-7,PROVINCE,
Gulf,PNG-8,PROVINCE,
Hela,PNG-9,PROVINCE,
Jiwaka,PNG-10,PROVINCE,
Madang,PNG-11,PROVINCE,
Manus,PNG-12,PROVINCE,
Milne Bay,PNG-13,PROVINCE,
Morobe,PNG-14,PROVINCE,
National Capital District,PNG-15,PROVINCE,
New Ireland,PNG-16,PROVINCE,
Oro,PNG-17,PROVINCE,
Sandaun,PNG-18,PROVINCE,
Southern Highlands,PNG-19,PROVINCE,
West New Britain,PNG-20,PROVINCE,
Western,PNG-22,PROVINCE,
Western Highlands,PNG-21,PROVINCE,
Choiseul,SLB-1,PROVINCE,
Honiara,SLB-10,PROVINCE,
Western,SLB-2,PROVINCE,
Isabel,SLB-3,PROVINCE,
Central,SLB-4,PROVINCE,
Rennell-Bell,SLB-5,PROVINCE,
Guadalcanal,SLB-6,PROVINCE,
Malaita,SLB-7,PROVINCE,
Makira-Ulawa,SLB-8,PROVINCE,
Temotu,SLB-9,PROVINCE,
Vava'u,TON-2,DIVISION,
Ha'apai,TON-3,DIVISION,
'Eua,TON-4,DIVISION,
Tongatapu,TON-1,DIVISION,
Niuas,TON-5,DIVISION,
Nanumanga,TUV-2,ISLAND,
Nanumea,TUV-1,ISLAND,
Funafuti,TUV-7,ISLAND,
Nukufetau,TUV-6,ISLAND,
Nukulaelae,TUV-8,ISLAND,
Nui,TUV-4,ISLAND,
Niulakita,TUV-9,ISLAND,
Niutao,TUV-3,ISLAND,
Vaitupu,TUV-5,ISLAND,
Malampa,VUT-4,PROVINCE,
Penama,VUT-3,PROVINCE,
Tafea,VUT-6,PROVINCE,
Shefa,VUT-5,PROVINCE,
Sanma,VUT-2,PROVINCE,
Torba,VUT-1,PROVINCE,
Alo,WLF-1,DISTRICT,
Sigave,WLF-2,DISTRICT,
Hahake,WLF-5,DISTRICT,
Hihifo,WLF-6,DISTRICT,
Mua,WLF-7,DISTRICT,
