SC3_NAME,SC3_CODE,Local Boundary Name,SampleValues
Eueiki,TON-2613,VILLAGE,
Mala,TON-2614,VILLAGE,
Fofoa Island,TON-2615,VILLAGE,
Vaimalo,TON-2504,VILLAGE,
Holonga,TON-2402,VILLAGE,
Mataika,TON-2404,VILLAGE,
Fukave Island,TON-1513,VILLAGE,
Nukualofa,TUV-802,VILLAGE,
Pepesala,TUV-801,VILLAGE,
Aulotu,TUV-601,VILLAGE,
Mataluafata,TUV-106,VILLAGE,
Fakaifou,TUV-703,VILLAGE,
Matagi,TUV-105,VILLAGE,
Senala,TUV-704,VILLAGE,
Vao,TUV-104,VILLAGE,
Lofeagai,TUV-701,VILLAGE,
Haumaefa,TUV-103,VILLAGE,
Teone,TUV-702,VILLAGE,
Lolua,TUV-102,VILLAGE,
Tekavatoetoe,TUV-707,VILLAGE,
Hauma,TUV-101,VILLAGE,
Amatuku,TUV-708,VILLAGE,
Alapi,TUV-705,VILLAGE,
Vaiaku,TUV-706,VILLAGE,
Maneapa,TUV-602,VILLAGE,
Saniuta,TUV-505,VILLAGE,
Tokelau,TUV-202,VILLAGE,
Matagi,TUV-506,VILLAGE,
Potufale,TUV-503,VILLAGE,
Temotu,TUV-504,VILLAGE,
Teava,TUV-302,VILLAGE,
Kulia,TUV-301,VILLAGE,
Motufoua,TUV-507,VILLAGE,
Tonga,TUV-201,VILLAGE,
Asau,TUV-501,VILLAGE,
Funafala,TUV-709,VILLAGE,
Tumaseu,TUV-502,VILLAGE,
Manutalake,TUV-401,VILLAGE,
Alamoni,TUV-402,VILLAGE,
Niulakita,TUV-901,VILLAGE,
South East Ambrym,VUT-12,AREA COUNCIL,
East Ambae,VUT-51,AREA COUNCIL,
West Tanna,VUT-25,AREA COUNCIL,
Middle Bush Tanna,VUT-62,AREA COUNCIL,
South West Tanna,VUT-23,AREA COUNCIL,
South Tanna,VUT-22,AREA COUNCIL,
Whitesands,VUT-24,AREA COUNCIL,
North Tanna,VUT-26,AREA COUNCIL,
North Erromango,VUT-19,AREA COUNCIL,
South Erromango,VUT-20,AREA COUNCIL,
Vermali,VUT-29,AREA COUNCIL,
Aneityum,VUT-21,AREA COUNCIL,
Futuna,VUT-04,AREA COUNCIL,
Aniwa,VUT-05,AREA COUNCIL,
Makimae,VUT-33,AREA COUNCIL,
Tongariki,VUT-32,AREA COUNCIL,
North Tongoa,VUT-31,AREA COUNCIL,
South Epi,VUT-27,AREA COUNCIL,
Vermaul,VUT-28,AREA COUNCIL,
Varisu,VUT-30,AREA COUNCIL,
Paama,VUT-13,AREA COUNCIL,
North Ambrym,VUT-11,AREA COUNCIL,
West Ambrym,VUT-10,AREA COUNCIL,
North West Malekula,VUT-06,AREA COUNCIL,
North East Malekula,VUT-07,AREA COUNCIL,
Central Malekula,VUT-08,AREA COUNCIL,
South East Malekula,VUT-09,AREA COUNCIL,
South Malekula,VUT-58,AREA COUNCIL,
South West Malekula,VUT-59,AREA COUNCIL,
South Pentecost,VUT-16,AREA COUNCIL,
Central Pentecost 2,VUT-18,AREA COUNCIL,
Central Pentecost 1,VUT-60,AREA COUNCIL,
North Pentecost,VUT-17,AREA COUNCIL,
South Ambae,VUT-49,AREA COUNCIL,
West Ambae,VUT-52,AREA COUNCIL,
North Ambae,VUT-50,AREA COUNCIL,
North Maewo,VUT-14,AREA COUNCIL,
South Maewo,VUT-15,AREA COUNCIL,
West Santo,VUT-48,AREA COUNCIL,
South Santo,VUT-45,AREA COUNCIL,
South East Santo,VUT-46,AREA COUNCIL,
East Santo,VUT-56,AREA COUNCIL,
North Santo,VUT-47,AREA COUNCIL,
Canal - Fanafo,VUT-61,AREA COUNCIL,
North West Santo,VUT-44,AREA COUNCIL,
East Malo,VUT-42,AREA COUNCIL,
West Malo,VUT-43,AREA COUNCIL,
Torres,VUT-55,AREA COUNCIL,
Mota,VUT-64,AREA COUNCIL,
Motalava,VUT-63,AREA COUNCIL,
Ureparapara,VUT-66,AREA COUNCIL,
Gaua,VUT-53,AREA COUNCIL,
North Efate,VUT-35,AREA COUNCIL,
Eton,VUT-37,AREA COUNCIL,
Pango,VUT-38,AREA COUNCIL,
Ifira,VUT-39,AREA COUNCIL,
Nguna,VUT-36,AREA COUNCIL,
Emau,VUT-34,AREA COUNCIL,
Malorua,VUT-41,AREA COUNCIL,
Port Vila,VUT-02,AREA COUNCIL,
Luganville,VUT-01,AREA COUNCIL,
Vanua Lava,VUT-54,AREA COUNCIL,
Mele,VUT-57,AREA COUNCIL,
Erakor,VUT-40,AREA COUNCIL,
Eratap,VUT-03,AREA COUNCIL,
Merelava,VUT-65,AREA COUNCIL,
Tufu'one,WLF-62,VILLAGE,
Poi,WLF-14,VILLAGE,
Vailala,WLF-63,VILLAGE,
Vaitupu,WLF-64,VILLAGE,
Alele,WLF-60,VILLAGE,
Mala'e,WLF-61,VILLAGE,
Liku,WLF-54,VILLAGE,
Aka'Aka,WLF-51,VILLAGE,
Mata'Utu,WLF-55,VILLAGE,
Ahoa,WLF-50,VILLAGE,
Falaleu,WLF-52,VILLAGE,
Ha'afuasia,WLF-53,VILLAGE,
Lavegahau,WLF-74,VILLAGE,
Tepa,WLF-77,VILLAGE,
Ha'atofo,WLF-71,VILLAGE,
Gahi,WLF-70,VILLAGE,
Utufua,WLF-78,VILLAGE,
Mala'efo'ou,WLF-75,VILLAGE,
Te'esi,WLF-76,VILLAGE,
Kolopopo,WLF-73,VILLAGE,
Halalo,WLF-72,VILLAGE,
Vele,WLF-18,VILLAGE,
Kolia,WLF-11,VILLAGE,
Taoa,WLF-16,VILLAGE,
Ono,WLF-13,VILLAGE,
Tamana,WLF-15,VILLAGE,
Mala'e,WLF-12,VILLAGE,
Tavai,WLF-23,VILLAGE,
Leava,WLF-21,VILLAGE,
Nuku,WLF-22,VILLAGE,
Vaisei,WLF-25,VILLAGE,
Fiua,WLF-20,VILLAGE,
Toloke,WLF-24,VILLAGE,
Vaimalau,WLF-79,VILLAGE,
