SC2_NAME,SC2_CODE,Local Boundary Name,SampleValues
Airai,PLW-2,STATE,
Ngchesar,PLW-13,STATE,
Ngatpang,PLW-12,STATE,
Aimeliik,PLW-1,STATE,
Melekeok,PLW-7,STATE,
Ngaremlengui,PLW-11,STATE,
Ngiwal,PLW-14,STATE,
Ngardmau,PLW-10,STATE,
Ngaraard,PLW-8,STATE,
Ngaraard,PLW-9,STATE,
Peleliu,PLW-15,STATE,
Angaur,PLW-3,STATE,
Sonsorol,PLW-16,STATE,
Hatohobei,PLW-4,STATE,
Kayangel,PLW-5,STATE,
Central Bougainville,PNG-11,DISTRICT,
North Bougainville,PNG-12,DISTRICT,
South Bougainville,PNG-13,DISTRICT,
Abau,PNG-21,DISTRICT,
Goilala,PNG-22,DISTRICT,
Kairuku-Hiri,PNG-23,DISTRICT,
Rigo,PNG-24,DISTRICT,
Chuave,PNG-31,DISTRICT,
Gumine,PNG-32,DISTRICT,
Karimui-Nomane,PNG-33,DISTRICT,
Kerowagi,PNG-34,DISTRICT,
Kundiawa-Gembogl,PNG-35,DISTRICT,
Sina Sina-Yonggomugl,PNG-36,DISTRICT,
Gazelle,PNG-41,DISTRICT,
Kokopo,PNG-42,DISTRICT,
Pomio,PNG-43,DISTRICT,
Rabaul,PNG-44,DISTRICT,
Ambunti-Dreikikir,PNG-51,DISTRICT,
Angoram,PNG-52,DISTRICT,
Maprik,PNG-53,DISTRICT,
Wewak,PNG-54,DISTRICT,
Wosera-Gawi,PNG-55,DISTRICT,
Yangoro-Saussia,PNG-56,DISTRICT,
Daulo,PNG-61,DISTRICT,
Goroka,PNG-62,DISTRICT,
Henganofi,PNG-63,DISTRICT,
Kainantu,PNG-64,DISTRICT,
Lufa,PNG-65,DISTRICT,
Obura-Wonenara,PNG-66,DISTRICT,
Okapa,PNG-67,DISTRICT,
Unggai-Bena,PNG-68,DISTRICT,
Kandep,PNG-71,DISTRICT,
Kompiam-Ambum,PNG-72,DISTRICT,
Lagaip-Porgera,PNG-73,DISTRICT,
Wabag,PNG-74,DISTRICT,
Wapenamanda,PNG-75,DISTRICT,
Kerema,PNG-81,DISTRICT,
Kikori,PNG-82,DISTRICT,
Komo-Magarima,PNG-91,DISTRICT,
Koroba-Kopiago,PNG-92,DISTRICT,
Tari-Pori,PNG-93,DISTRICT,
Anglimp-South Waghi,PNG-101,DISTRICT,
Jimi,PNG-102,DISTRICT,
North Waghi,PNG-103,DISTRICT,
Bogia,PNG-111,DISTRICT,
Madang,PNG-112,DISTRICT,
Middle Ramu,PNG-113,DISTRICT,
Rai Coast,PNG-114,DISTRICT,
Sumkar,PNG-115,DISTRICT,
Usino-Bundi,PNG-116,DISTRICT,
Manus,PNG-121,DISTRICT,
Alotau,PNG-131,DISTRICT,
Esa'ala,PNG-132,DISTRICT,
Kiriwina-Goodenough,PNG-133,DISTRICT,
Samarai-Murua,PNG-134,DISTRICT,
Bulolo,PNG-141,DISTRICT,
Finschhafen,PNG-142,DISTRICT,
Huon,PNG-143,DISTRICT,
Kabwum,PNG-144,DISTRICT,
Lae,PNG-145,DISTRICT,
Markham,PNG-146,DISTRICT,
Menyamya,PNG-147,DISTRICT,
Nawae,PNG-148,DISTRICT,
Tewae-Siassi,PNG-149,DISTRICT,
National Capital District,PNG-151,DISTRICT,
Kavieng,PNG-161,DISTRICT,
Namatanai,PNG-162,DISTRICT,
Ijivitari,PNG-171,DISTRICT,
Sohe,PNG-172,DISTRICT,
Aitape-Lumi,PNG-181,DISTRICT,
Nuku,PNG-182,DISTRICT,
Telefomin,PNG-183,DISTRICT,
Vanimo-Green River,PNG-184,DISTRICT,
Ialibu-Pangia,PNG-191,DISTRICT,
Imbonggu,PNG-192,DISTRICT,
Kagua-Erave,PNG-193,DISTRICT,
Mendi-Munihu,PNG-194,DISTRICT,
Nipa-Kutubu,PNG-195,DISTRICT,
Kandrian-Gloucester,PNG-201,DISTRICT,
Talasea,PNG-202,DISTRICT,
Middle Fly,PNG-221,DISTRICT,
North Fly,PNG-222,DISTRICT,
South Fly,PNG-223,DISTRICT,
Dei,PNG-211,DISTRICT,
Mount Hagen,PNG-212,DISTRICT,
Mul-Baiyer,PNG-213,DISTRICT,
Tambul-Nebilyer,PNG-214,DISTRICT,
South Choiseul,SLB-101,CONSTITUENCY,
North West Choiseul,SLB-102,CONSTITUENCY,
East Choiseul,SLB-103,CONSTITUENCY,
East Honiara,SLB-1041,CONSTITUENCY,
Central Honiara,SLB-1042,CONSTITUENCY,
West Honiara,SLB-1043,CONSTITUENCY,
Shortland Islands,SLB-204,CONSTITUENCY,
North Vella la Vella,SLB-205,CONSTITUENCY,
South Vella la Vella,SLB-206,CONSTITUENCY,
Ranongga-Simbo,SLB-207,CONSTITUENCY,
Gizo-Kolombangara,SLB-208,CONSTITUENCY,
West New Georgia-Vonavona,SLB-209,CONSTITUENCY,
North New Georgia,SLB-210,CONSTITUENCY,
South New Georgia-Rendova,SLB-211,CONSTITUENCY,
Marovo,SLB-212,CONSTITUENCY,
Hograno-Kia-Havulei,SLB-313,CONSTITUENCY,
Marigne-Kokota,SLB-314,CONSTITUENCY,
Gao-Bugotu,SLB-315,CONSTITUENCY,
Nggela,SLB-430,CONSTITUENCY,
Savo-Russull Islands,SLB-431,CONSTITUENCY,
Rennell-Bellona,SLB-532,CONSTITUENCY,
North West Guadalcanl,SLB-633,CONSTITUENCY,
West Guadalcanal,SLB-634,CONSTITUENCY,
South Guadalcanal,SLB-635,CONSTITUENCY,
East Guadalcanal,SLB-636,CONSTITUENCY,
East-Central,SLB-637,CONSTITUENCY,
North-East,SLB-638,CONSTITUENCY,
North Guadalcanal,SLB-639,CONSTITUENCY,
Central Guadalcanal,SLB-640,CONSTITUENCY,
North Malaita,SLB-716,CONSTITUENCY,
Lau-Mbaelela,SLB-717,CONSTITUENCY,
Baegu-Asifola,SLB-718,CONSTITUENCY,
Fataleka,SLB-719,CONSTITUENCY,
West Kwara'ae,SLB-720,CONSTITUENCY,
Central Kwara'ae,SLB-721,CONSTITUENCY,
East Malaita,SLB-722,CONSTITUENCY,
Auki-Langalanga,SLB-723,CONSTITUENCY,
East Kwaio,SLB-724,CONSTITUENCY,
West Kwaio,SLB-725,CONSTITUENCY,
East AreAre,SLB-726,CONSTITUENCY,
West Areare,SLB-727,CONSTITUENCY,
Small Malaita,SLB-728,CONSTITUENCY,
Malaita Outer Island,SLB-729,CONSTITUENCY,
West Makira,SLB-844,CONSTITUENCY,
Central Makira,SLB-845,CONSTITUENCY,
East Makira,SLB-846,CONSTITUENCY,
Ulawa-Ugi,SLB-847,CONSTITUENCY,
Temotu Pele,SLB-948,CONSTITUENCY,
Temotu-Nende,SLB-949,CONSTITUENCY,
Temotu Vatu,SLB-950,CONSTITUENCY,
Neiafu,TON-21,DISTRICT,
Pangaimotu,TON-22,DISTRICT,
Motu,TON-26,DISTRICT,
Hihifo,TON-25,DISTRICT,
Leimatu'a,TON-24,DISTRICT,
Hahake,TON-23,DISTRICT,
Pangai,TON-31,DISTRICT,
Foa,TON-32,DISTRICT,
'Uiha,TON-36,DISTRICT,
Ha`ano,TON-35,DISTRICT,
Lulunga,TON-33,DISTRICT,
Mu'omu'a,TON-34,DISTRICT,
'Eua Prope,TON-41,DISTRICT,
'Eua fo'ou,TON-42,DISTRICT,
Kolovai,TON-17,DISTRICT,
Nukunuku,TON-16,DISTRICT,
Kolomotu'a,TON-12,DISTRICT,
Kolofo'ou,TON-11,DISTRICT,
Vaini,TON-13,DISTRICT,
Tatakamotonga,TON-14,DISTRICT,
Niuatoputapu,TON-51,DISTRICT,
Niuafo'ou,TON-52,DISTRICT,
Lapaha,TON-15,DISTRICT,
Ambrym,VUT-43,ISLAND,
Ambae,VUT-26,ISLAND,
Tanna,VUT-64,ISLAND,
Erromango,VUT-63,ISLAND,
Epi,VUT-46,ISLAND,
Aneityum,VUT-67,ISLAND,
Futuna,VUT-65,ISLAND,
Aniwa,VUT-66,ISLAND,
Makira,VUT-52,ISLAND,
Emae,VUT-51,ISLAND,
Tongoa,VUT-48,ISLAND,
Tongariki,VUT-49,ISLAND,
Buninga,VUT-50,ISLAND,
Paama,VUT-44,ISLAND,
Malekula,VUT-29,ISLAND,
Vao,VUT-30,ISLAND,
Atchin,VUT-31,ISLAND,
Norsup,VUT-34,ISLAND,
Uripiv,VUT-35,ISLAND,
Sakao,VUT-37,ISLAND,
Maskelynes,VUT-38,ISLAND,
Akhamb,VUT-40,ISLAND,
Pentecost,VUT-28,ISLAND,
Maewo,VUT-27,ISLAND,
Espiritu Santo,VUT-22,ISLAND,
Araki,VUT-24,ISLAND,
Tutuba,VUT-19,ISLAND,
Bokissa,VUT-71,ISLAND,
Aese,VUT-18,ISLAND,
Mavea,VUT-17,ISLAND,
Malo,VUT-21,ISLAND,
Hiu,VUT-14,ISLAND,
Metoma,VUT-13,ISLAND,
Tegua,VUT-12,ISLAND,
Loh,VUT-11,ISLAND,
Toga,VUT-10,ISLAND,
Mota,VUT-06,ISLAND,
Rah,VUT-08,ISLAND,
Ureparapara,VUT-09,ISLAND,
Gaua,VUT-01,ISLAND,
Toman,VUT-41,ISLAND,
Rano,VUT-33,ISLAND,
Wala,VUT-32,ISLAND,
Lopevi,VUT-45,ISLAND,
Efate,VUT-54,ISLAND,
Ifira,VUT-60,ISLAND,
Nguna,VUT-57,ISLAND,
Emau,VUT-55,ISLAND,
Lelepa,VUT-59,ISLAND,
Moso,VUT-58,ISLAND,
Vanua Lava,VUT-04,ISLAND,
Mota Lava,VUT-05,ISLAND,
Aore,VUT-20,ISLAND,
Lamen,VUT-47,ISLAND,
Lataroa,VUT-42,ISLAND,
Kwakea,VUT-07,ISLAND,
Urelapa,VUT-23,ISLAND,
Tangoa,VUT-25,ISLAND,
Venui/First point,VUT-72,ISLAND,
Kakula,VUT-62,ISLAND,
Pele,VUT-56,ISLAND,
Mataso,VUT-53,ISLAND,
Malekula,VUT-03,ISLAND,
Merig,VUT-02,ISLAND,
Hideaway,VUT-76,ISLAND,
Avokh,VUT-39,ISLAND,
Reef,VUT-73,ISLAND,
