SC2_NAME,SC2_CODE,Local Boundary Name,SampleValues
Ituau,ASM-11,COUNTY,
Ma'Oputasi,ASM-12,COUNTY,
Sa'Ole,ASM-13,COUNTY,
Sua,ASM-14,COUNTY,
Vaifanua,ASM-15,COUNTY,
Faleasao,ASM-21,COUNTY,
Fitiuta,ASM-22,COUNTY,
Ofu,ASM-23,COUNTY,
Olosega,ASM-24,COUNTY,
Ta'u,ASM-25,COUNTY,
Rose Island,ASM-31,COUNTY,
Swains,ASM-32,COUNTY,
Lealataua,ASM-41,COUNTY,
Leasina,ASM-42,COUNTY,
Tualatai,ASM-43,COUNTY,
Tualauta,ASM-44,COUNTY,
Atiu,COK-04,ISLAND,
Nassau,COK-10,ISLAND,
Palmerston,COK-08,ISLAND,
Manihiki,COK-11,ISLAND,
Mauke,COK-05,ISLAND,
Pukapuka,COK-09,ISLAND,
Mitiaro,COK-06,ISLAND,
Aitutaki,COK-02,ISLAND,
Rakahanga,COK-12,ISLAND,
Penrhyn,COK-13,ISLAND,
Suwarrow National Park,COK-14,ISLAND,
Mangaia,COK-03,ISLAND,
Rarotonga,COK-01,ISLAND,
Ba,FJI-1,PROVINCE,
Namosi,FJI-10,PROVINCE,
Ra,FJI-11,PROVINCE,
Rewa,FJI-12,PROVINCE,
Serua,FJI-13,PROVINCE,
Tailevu,FJI-14,PROVINCE,
Rotuma,FJI-15,PROVINCE,
Bua,FJI-2,PROVINCE,
Cakaudrove,FJI-3,PROVINCE,
Kadavu,FJI-4,PROVINCE,
Lau,FJI-5,PROVINCE,
Lomaiviti,FJI-6,PROVINCE,
Macuata,FJI-7,PROVINCE,
Nadroga_Navosa,FJI-8,PROVINCE,
Naitasiri,FJI-9,PROVINCE,
Banaba,KIR-1,ISLAND,
Makin,KIR-2,ISLAND,
Abaiang,KIR-5,ISLAND,
Maiana,KIR-8,ISLAND,
Abemama,KIR-9,ISLAND,
Kuria,KIR-10,ISLAND,
Aranuka,KIR-11,ISLAND,
Nonouti,KIR-12,ISLAND,
Tabiteuea.Nth,KIR-13,ISLAND,
Tabiteuea.Sth,KIR-14,ISLAND,
Beru,KIR-15,ISLAND,
Nikunau,KIR-16,ISLAND,
Onotoa,KIR-17,ISLAND,
Arorae,KIR-19,ISLAND,
Tamana,KIR-18,ISLAND,
Butaritari,KIR-3,ISLAND,
Nth.Tarawa,KIR-6,ISLAND,
Kanton,KIR-23,ISLAND,
Teeraina,KIR-20,ISLAND,
Marakei,KIR-4,ISLAND,
Tabuaeran,KIR-21,ISLAND,
Sth.Tarawa,KIR-7,ISLAND,
Kiritimati,KIR-22,ISLAND,
Koro,PLW-6,STATE,
